Rank,Team,_raw,_screenshot,_extracted_at
000000000,,000000000,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157961
0,,0 run In-uIurn_nunv'ro1AL0u-oavcuowugugspouvazms,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157972
1,RELENILESS RHINOS 6 1282 I4 I89 K,1 RR RELENILESS RHINOS 6 1282 I4 I89 K: I501 M25-O1vm Z7 M 232 2 '32 11 51: 9,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157974
2,YEAM INOX TIRE 6 1126 1 Hi 1 I66 1 I0 1 I320 1 M22,2 1 YEAM INOX TIRE 6 1126 1 Hi 1 I66 1 I0 1 I320 1 M22] 05!. 1 252 1 2 96 1 11 6'4 1 8,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157976
3,HIS,3 -HIS!’ YARYESIOS 5 I17! 1 G 1 K25 ' C IZVG 1 M2 521%.. 292:! 1 21) 1 297 1 I096 1 7,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157977
5,ISWIDISFCZWFY RKERSCB,5: ISWIDISFCZWFY RKERSCB '3 98‘) I3 126 1 0 “I4 1 H2524... 26:3: 1 2\() 1 296 1 1102 1 G,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157978
,ZWDLXXXY 5 783 22 90 1 C 895 1 -425-4-4-,S -ZWDLXXXY 5 783 22 90 1 C 895 1 -425-4-4-.:- 319- 1 234 1 287 1 $96 1 5,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157980
7,GINIC 5 5,7 -GINIC 5 5'16 C 7G 1 C 566 1 M258 rm. 351.»: 1 228 1 292 1 1138 1 3,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157981
8,LAMME TRAPPERS 1 M 1 52,8 -LAMME TRAPPERS 1 M 1 52‘: C 91 1 C 615 1 142S3:w-- 29%: 1 255 1 297 1 I0 87 1 2,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157982
1,DNQ IYEAM 8-IKEEOOYS1 1 2 - 89 - C 1 I-4,1 DNQ IYEAM 8-IKEEOOYS1 1 2 - 89 - C 1 I-4 . C ' I03 1 ‘QOGIPIISU3 Pm. 235 - 28!: - 965 1 C,Screenshot 2025-10-22 204846.png,2025-10-22T19:06:24.157983
